Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
6,4,0:18:09,****,E,mediocre,,
6,4,0:20:03,****,L,mediocre,,
6,4,0:43:34,****,E,good,,
6,4,0:47:00,****,L,good,,
6,4,0:52:19,****,E,good,,
6,4,0:56:52,****,L,good,,
6,4,1:08:10,****,E,mediocre,,
6,4,1:11:21,****,L,mediocre,,
6,4,1:21:21,****,E,good,,
6,4,1:30:27,****,L,good,,
6,4,1:30:36,****,E,good,,
6,4,1:30:44,****,L,good,,
6,4,1:35:28,****,TB,good,old?,
6,4,1:38:07,****,L,good,,
6,4,1:42:30,****,TB,good,old?,
6,4,1:43:45,****,L,good,,
6,4,1:47:14,****,TB,good,old?,
6,4,1:48:08,****,L,good,,
6,4,1:51:49,****,TA,good,old?,
6,4,1:52:53,****,L,good,,
6,4,1:56:26,****,TA,good,old?,
6,4,1:57:05,****,L,good,,
6,4,2:00:29,****,TB,good,old?,
6,4,2:01:45,****,L,good,,
6,4,2:04:42,****,TB,good,old?,
6,4,2:05:45,****,L,good,,
6,4,2:08:56,****,TA,good,old?,"confirmed, carries in y***"
6,4,2:09:49,****,L,good,,fixed
6,4,2:14:22,****,TB,good,old?,confirmed
6,4,2:15:13,****,L,good,,
6,4,2:19:18,****,TB,good,old?,
6,4,2:20:20,****,L,good,,
6,4,2:22:30,****,TA,good,old?,
6,4,2:22:58,****,L,good,,
6,4,2:25:59,****,TB,good,old?,
6,4,2:26:44,****,L,good,,
6,4,2:29:46,****,TA,good,old?,
6,4,2:30:19,****,L,good,,
6,4,2:33:24,****,TB,good,old?,
6,4,2:34:20,****,L,good,,
6,4,2:36:36,****,TA,good,old?,
6,4,2:37:15,****,L,good,,
6,4,2:39:42,****,TB,good,old?,
6,4,2:40:37,****,L,good,,
6,4,2:43:31,****,TB,good,old?,
6,4,2:44:21,****,L,good,,
6,4,2:46:45,****,TA,good,old?,"confirmed, carries in WO**"
6,4,2:48:20,****,L,good,,added
6,4,2:51:03,****,TB,good,old?,
6,4,2:51:54,****,L,good,,
6,4,3:17:44,****,E,good,,confirmed
6,4,3:35:32,****,L,good,,
6,4,3:56:19,****,E,good,,
6,4,4:12:09,****,L,good,,
6,4,4:22:16,****,E,good,,confirmed
6,4,0:25:34,**WW,E,mediocre,,
6,4,0:32:40,**WW,L,mediocre,,
6,4,0:49:12,**WW,E,mediocre,,
