Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
3004,5,00:00:00,OldUncoded,Open,old,,Good and mediocre cameras started simultaneously
3004,5,00:31:01,****,E,mediocre,,
3004,5,00:32:04,POOB,E,good,,
3004,5,00:32:16,****,L,mediocre,,
3004,5,00:35:07,POOB,L,good,,
3004,5,00:44:30,GP**,E,mediocre,,
3004,5,00:44:38,POOB,E,mediocre,,
3004,5,00:44:45,POOB,L,mediocre,,
3004,5,00:45:14,GP**,L,mediocre,,
3004,5,00:48:14,GY**(1),E,good,,
3004,5,00:52:00,GP**,E,mediocre,,
3004,5,00:52:26,GP**,L,mediocre,,
3004,5,00:52:30,GP**,E,mediocre,,
3004,5,00:52:53,GP**,L,mediocre,,
3004,5,00:54:09,GY**(1),L,good,,
3004,5,00:58:12,P*B*,E,mediocre,,
3004,5,01:00:16,P*B*,L,mediocre,,
3004,5,01:01:08,****,E,good,,
3004,5,01:01:34,PG*G,E,mediocre,,
3004,5,01:05:14,PG*G,L,mediocre,,
3004,5,01:06:06,****,L,good,,
3004,5,01:07:16,GY**(1),E,good,,
3004,5,01:08:38,****,E,mediocre,,
3004,5,01:10:28,****,L,mediocre,,
3004,5,01:10:43,****,E,mediocre,,
3004,5,01:11:21,****,L,mediocre,,
3004,5,01:14:13,GY**(1),L,good,,
3004,5,01:17:58,****,E,good,,
3004,5,01:18:55,****,L,good,,
3004,5,01:23:47,GY**(1),E,good,,
3004,5,01:31:04,GY**(1),L,good,,
3004,5,01:32:15,GY**(2),E,mediocre,,
3004,5,01:34:30,GY**(2),L,mediocre,,
3004,5,01:44:16,P*B*,E,mediocre,,
3004,5,01:46:16,GY**(1),E,good,,
3004,5,01:46:45,P*B*,L,mediocre,,
3004,5,01:51:31,PG*G,E,mediocre,,
3004,5,01:51:36,PG*G,L,mediocre,,
3004,5,01:53:36,GY**(1),L,good,,
3004,5,01:53:47,GY**(1),E,good,,
3004,5,01:55:40,GY**(1),L,good,,
3004,5,01:57:06,P*B*,E,mediocre,,
3004,5,01:58:48,P*B*,L,mediocre,,
3004,5,01:59:11,*OPB,E,mediocre,,
3004,5,02:00:51,GP**,FB,old,good,
3004,5,02:00:51,GY**(1),LB,old,good,
3004,5,02:01:15,*OPB,L,mediocre,,
3004,5,02:01:18,*OPB,E,mediocre,,
3004,5,02:01:39,P*B*,FB,old,good,
3004,5,02:01:47,GY**(1),E,good,,
3004,5,02:01:54,P*B*,E,good,,
3004,5,02:02:30,*OPB,L,mediocre,,
3004,5,02:02:33,*OPB,E,mediocre,,
3004,5,02:02:40,GP**,E,good,,
3004,5,02:03:14,GP**,L,good,,
3004,5,02:04:04,GP**,E,good,,
3004,5,02:04:14,*OPB,L,mediocre,,
3004,5,02:04:49,GP**,L,good,,
3004,5,02:05:00,*OPB,E,mediocre,,
3004,5,02:05:24,*OPB,L,mediocre,,
3004,5,02:06:20,GP**,E,good,,
3004,5,02:07:13,GP**,FB,good,old,
3004,5,02:07:13,GY**(1),LB,good,old,
3004,5,02:08:10,GY**(1),L,good,,
3004,5,02:08:16,GP**,L,good,,
3004,5,02:15:59,****,E,good,,
3004,5,02:18:22,GY**(1),TA,good,old?,
3004,5,02:18:22,WB**1,BC,good,old?,
3004,5,02:20:37,GY**(1),L,good,,
3004,5,02:21:23,GP**,E,good,,
3004,5,02:23:51,GY**(1),TB,good,old?,
3004,5,02:25:54,GY**(1),L,good,,
3004,5,02:26:56,*OPB,E,mediocre,,
3004,5,02:27:21,*OPB,L,mediocre,,
3004,5,02:27:28,*OPB,E,mediocre,,
3004,5,02:27:32,*OPB,L,mediocre,,
3004,5,02:27:34,*OPB,E,mediocre,,
3004,5,02:28:38,*OPB,L,mediocre,,
3004,5,02:29:34,GY**(1),TA,good,old?,
3004,5,02:29:34,P*PY,BC,good,old?,
3004,5,02:31:52,GY**(1),L,good,,
3004,5,02:35:20,P*B*,L,good,,
3004,5,02:36:19,P*B*,E,good,,
3004,5,02:38:03,*OPB,BC,good,old?,
3004,5,02:38:03,GY**(1),TA,good,old?,
3004,5,02:39:04,GY**(1),L,good,,
3004,5,02:39:32,POOB,E,good,,
3004,5,02:43:27,GY**(1),TA,good,old?,
3004,5,02:43:27,GY**(2),BC,good,old?,
3004,5,02:44:42,GY**(1),LB,good,old,
3004,5,02:44:42,P*B*,FB,good,old,
3004,5,02:44:56,GY**(1),L,good,,
3004,5,02:44:58,P*B*,L,good,,
3004,5,02:45:35,****,FB,good,old,
3004,5,02:45:35,POOB,LB,good,old,
3004,5,02:48:04,****,FB,good,old,
3004,5,02:48:04,POOB,LB,good,old,
3004,5,02:49:35,GY**(1),TB,good,old?,
3004,5,02:50:39,****,FB,good,old,
3004,5,02:50:39,GY**(1),LB,good,old,
3004,5,02:51:32,GY**(1),L,good,,
3004,5,02:51:41,****,L,good,,
3004,5,02:52:16,GP**,L,good,,
3004,5,02:52:27,GP**,E,good,,
3004,5,02:54:07,P*B*,TB,good,old?,
3004,5,02:54:35,POOB,L,good,,
3004,5,02:55:29,POOB,E,good,,
3004,5,02:56:58,GY**(1),TB,good,old?,
3004,5,02:57:24,POOB,L,good,,
3004,5,02:57:37,P*B*,L,good,,
3004,5,02:58:14,GY**(1),L,good,,
3004,5,02:58:29,GY**(2),L,good,,
3004,5,03:00:37,GY**(2),E,good,,
3004,5,03:01:03,****,E,good,,
3004,5,03:01:09,GPPO,BC,good,old?,
3004,5,03:01:09,GY**(1),TA,good,old?,
3004,5,03:01:28,GP**,L,good,,
3004,5,03:01:56,GY**(1),L,good,,
3004,5,03:02:28,****,L,good,,
3004,5,03:02:41,GY**(2),L,good,,
3004,5,03:03:05,P*B*,TB,good,old?,
3004,5,03:04:29,GY**(1),TA,good,old?,
3004,5,03:04:29,WW**,BC,good,old?,
3004,5,03:05:03,P*B*,L,good,,
3004,5,03:06:01,GY**(1),L,good,,
3004,5,03:07:03,*OPB,L,good,,
3004,5,03:08:41,GY**(1),TA,good,old?,
3004,5,03:08:41,O***,BC,good,old?,
3004,5,03:09:26,GOBW,BC,good,old?,
3004,5,03:09:26,P*B*,TA,good,old?,
3004,5,03:09:29,GP**,E,good,,
3004,5,03:10:13,P*B*,L,good,,
3004,5,03:10:15,*OPB,E,good,,
3004,5,03:10:18,GY**(1),L,good,,
3004,5,03:10:24,*OPB,L,good,,
3004,5,03:10:27,*OPB,E,good,,
3004,5,03:10:41,GP**,L,good,,
3004,5,03:12:01,GW**,BC,good,old?,
3004,5,03:12:01,GY**(2),TA,good,old?,
3004,5,03:12:57,GY**(2),L,good,,
3004,5,03:13:06,GY**(1),TA,good,old?,
3004,5,03:13:06,PYYP,BC,good,old?,
3004,5,03:13:23,****,TB,good,old?,
3004,5,03:13:45,POOB,TA,good,old?,
3004,5,03:13:45,YBGO,BC,good,old?,
3004,5,03:13:53,*OPB,L,good,,
3004,5,03:14:24,GY**(1),L,good,,
3004,5,03:14:49,****,FB,good,old,
3004,5,03:14:49,POOB,LB,good,old,
3004,5,03:15:09,POOB,L,good,,
3004,5,03:16:31,GY**(1),TB,good,old?,
3004,5,03:16:45,P*B*,TB,good,old?,
3004,5,03:16:59,****,L,good,,
3004,5,03:17:30,GOBW,L,good,,
3004,5,03:17:51,GY**(1),L,good,,
3004,5,03:18:01,P*B*,L,good,,
3004,5,03:18:14,GP**,TB,good,old?,
3004,5,03:18:20,PG*G,BC,good,old?,
3004,5,03:18:20,POOB,TA,good,old?,
3004,5,03:18:52,*OPB,TB,good,old?,
3004,5,03:19:33,GOBW,E,good,,
3004,5,03:19:42,GY**(1),TA,good,old?,
3004,5,03:19:42,QUEEN,BC,good,old?,
3004,5,03:19:53,BBWB,BC,good,old?,
3004,5,03:19:53,GY**(2),TA,good,old?,
3004,5,03:19:55,*OPB,L,good,,
3004,5,03:20:00,GP**,L,good,,
3004,5,03:20:04,*OPB,TB,good,old?,
3004,5,03:20:34,POOB,L,good,,
3004,5,03:20:37,*OPB,L,good,,
3004,5,03:20:40,GY**(1),L,good,,
3004,5,03:21:13,GY**(2),L,good,,
3004,5,03:21:40,P*B*,TA,good,old?,
3004,5,03:21:40,WPWP,BC,good,old?,
3004,5,03:22:24,P*B*,L,good,,
3004,5,03:22:48,GP**,TB,good,old?,
3004,5,03:22:51,GY**(1),TA,good,old?,
3004,5,03:22:51,WWGY,BC,good,old?,
3004,5,03:23:26,GOBW,L,good,,
3004,5,03:23:46,GY**(1),L,good,,
3004,5,03:23:49,GP**,L,good,,
3004,5,03:24:11,****,TB,good,old?,
3004,5,03:24:33,*OPB,TB,good,old?,
3004,5,03:24:57,P*B*,TA,good,old?,
3004,5,03:24:57,PGGP,BC,good,old?,
3004,5,03:25:01,GY**(2),TB,good,old?,
3004,5,03:25:07,****,L,good,,
3004,5,03:25:15,P*B*,L,good,,
3004,5,03:25:30,*OPB,L,good,,
3004,5,03:25:47,GY**(2),L,good,,
3004,5,03:26:12,GY**(1),TB,good,old?,
3004,5,03:26:17,POOB,TB,good,old?,
3004,5,03:27:05,GY**(1),L,good,,
3004,5,03:27:06,GP**,TB,good,old?,
3004,5,03:27:23,OGPG,BC,good,old?,
3004,5,03:27:23,P*B*,TA,good,old?,
3004,5,03:27:58,GP**,L,good,,
3004,5,03:27:59,P*B*,L,good,,
3004,5,03:28:01,POOB,L,good,,
3004,5,03:28:08,GY**(2),TA,good,old?,
3004,5,03:28:08,OBGB,BC,good,old?,
3004,5,03:28:11,*OPB,TA,good,old?,
3004,5,03:28:11,WB**2,BC,good,old?,
3004,5,03:28:26,*OPB,L,good,,
3004,5,03:28:35,GY**(2),L,good,,
3004,5,03:28:55,****,TB,good,old?,
3004,5,03:29:54,****,L,good,,
3004,5,03:29:56,GY**(1),TB,good,old?,
3004,5,03:30:14,GW**,L,good,,
3004,5,03:30:33,P*B*,TB,good,old?,
3004,5,03:30:45,GOBW,TB,good,old?,
3004,5,03:30:48,GY**(1),L,good,,
3004,5,03:30:52,*OPB,TB,good,old?,
3004,5,03:31:00,GY**(2),TB,good,old?,
3004,5,03:31:29,GY**(2),L,good,,
3004,5,03:31:45,P*B*,L,good,,
3004,5,03:32:11,*OPB,L,good,,
3004,5,03:32:19,GOBW,L,good,,
3004,5,03:32:34,****,TB,good,old?,
3004,5,03:32:53,GP**,TB,good,old?,
3004,5,03:33:24,*OPY,BC,good,old?,
3004,5,03:33:24,GY**(1),TA,good,old?,
3004,5,03:34:04,****,L,good,,
3004,5,03:34:22,GY**(2),TB,good,old?,
3004,5,03:34:24,GY**(1),L,good,,
3004,5,03:34:28,POOB,TA,good,old?,
3004,5,03:34:28,YPP*,BC,good,old?,
3004,5,03:34:35,*OPB,TA,good,old?,
3004,5,03:34:35,WOYB,BC,good,old?,
3004,5,03:34:57,GY**(2),L,good,,
3004,5,03:35:02,OY**,BC,good,old?,
3004,5,03:35:02,P*B*,TA,good,old?,
3004,5,03:35:10,*OPB,L,good,,
3004,5,03:35:26,POOB,L,good,,
3004,5,03:35:39,P*B*,L,good,,
3004,5,03:38:48,*OPB,TA,good,old?,
3004,5,03:38:48,GY**(1),BC,good,old?,
3004,5,03:39:33,*OPB,L,good,,
3004,5,03:39:48,GW**,E,good,,
3004,5,03:40:11,PG*G,L,good,,
3004,5,03:41:03,GY**(2),TA,good,old?,
3004,5,03:41:03,WBOG,BC,good,old?,
3004,5,03:41:58,GY**(2),L,good,,
3004,5,03:42:30,GY**(1),L,good,,
3004,5,03:43:58,WWGY,L,good,,
3004,5,03:44:01,GOBW,BC,good,old?,
3004,5,03:44:01,WWGY,TA,good,old?,
3004,5,03:45:53,BBWB,L,good,,
3004,5,03:46:24,****,E,good,,
3004,5,03:46:59,WBOG,L,good,,
3004,5,03:47:27,WWGY,L,good,,
3004,5,03:48:38,BBWB,E,good,,
3004,5,03:51:39,*OPB,E,good,,
3004,5,03:52:13,POOB,E,mediocre,,
3004,5,03:52:40,POOB,L,mediocre,,
3004,5,03:52:52,****,L,good,,
3004,5,03:53:16,GW**,L,good,,
3004,5,03:54:02,GP**,L,good,,
3004,5,03:54:48,GY**(1),BC,good,old?,
3004,5,03:54:48,P*B*,TA,good,old?,
3004,5,03:55:37,POOB,E,good,,
3004,5,03:55:51,WBOG,E,good,,
3004,5,03:59:32,P*B*,L,good,,
3004,5,04:01:48,PG*G,E,good,,
3004,5,04:04:44,PG*G,L,good,,
3004,5,04:05:20,GY**(2),E,good,,
3004,5,04:05:25,P*B*,E,good,,
3004,5,04:06:28,****,E,good,,
3004,5,04:06:48,GY**(1),L,good,,
3004,5,04:06:59,P*B*,L,good,,
3004,5,04:07:28,GW**,E,good,,
3004,5,04:07:44,*OPB,L,good,,
