Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
208,3,1:31:36,****,E,mediocre,,
208,3,1:34:44,****,L,mediocre,,
208,3,2:25:37,****,E,good,,
208,3,6:40:02,****,L,good,,
208,3,6:55:44,****,E,good,,
208,3,0:45:52,**P*,E,mediocre,,
208,3,0:48:26,**P*,L,mediocre,,
208,3,0:50:56,**P*,E,good,,
208,3,0:55:20,**P*,L,good,,
208,3,1:42:25,**P*,E,good,,
208,3,2:34:27,**P*,L,good,,
208,3,2:37:10,**P*,E,good,,
208,3,2:46:05,**P*,L,good,,
208,3,2:48:46,**P*,E,good,,
208,3,2:49:47,**P*,FB,good,old,
208,3,2:49:47,**P*,L,good,,
208,3,2:55:47,**P*,TB,good,old?,
208,3,2:58:14,**P*,L,good,,
208,3,3:03:24,**P*,TB,good,old?,
208,3,3:04:40,**P*,L,good,,
208,3,3:12:39,**P*,TA,good,old?,
208,3,3:14:23,**P*,FB,good,old,Tandum follow out
208,3,3:14:25,**P*,L,good,,
208,3,3:16:34,**P*,FB,old,good,
208,3,3:39:51,**P*,E,good,,
208,3,3:55:55,**P*,L,good,,
208,3,4:02:10,**P*,E,mediocre,,
208,3,4:02:54,**P*,TAO,mediocre,good,
208,3,4:06:14,**P*,TA,good,mediocre,
208,3,4:11:34,**P*,L,good,,
208,3,4:15:48,**P*,TU,good,,
208,3,4:27:22,**P*,FB,good,mediocre,
208,3,4:27:22,**P*,L,good,,
208,3,4:48:50,**P*,E,mediocre,,
208,3,4:49:09,**P*,L,mediocre,,
208,3,4:49:19,**P*,E,mediocre,,
208,3,4:50:34,**P*,L,mediocre,,
208,3,4:51:04,**P*,E,mediocre,,
208,3,4:51:30,**P*,L,mediocre,,
208,3,4:52:00,**P*,E,mediocre,,
208,3,4:52:22,**P*,L,mediocre,,
208,3,4:58:30,**P*,E,mediocre,,
208,3,4:58:33,**P*,L,mediocre,,
208,3,4:58:36,**P*,E,mediocre,,
208,3,4:59:28,**P*,L,mediocre,,
208,3,4:59:30,**P*,E,mediocre,,
208,3,4:59:32,**P*,L,mediocre,,
208,3,4:59:33,**P*,E,mediocre,,
208,3,4:59:47,**P*,L,mediocre,,
208,3,4:59:49,**P*,E,mediocre,,
208,3,4:59:58,**P*,L,mediocre,,
208,3,5:00:12,**P*,E,mediocre,,
208,3,5:02:53,**P*,L,mediocre,,
208,3,5:02:57,**P*,E,mediocre,,
208,3,5:03:47,**P*,L,mediocre,,
208,3,5:03:56,**P*,E,mediocre,,
208,3,5:06:34,**P*,L,mediocre,,
208,3,5:15:24,**P*,E,mediocre,,
208,3,5:15:26,**P*,L,mediocre,,
208,3,5:18:59,**P*,E,mediocre,,
208,3,5:19:34,**P*,L,mediocre,,
208,3,5:25:15,**P*,E,good,,
208,3,5:47:32,**P*,L,good,,
208,3,5:56:40,**P*,E,good,,
208,3,6:10:37,**P*,L,good,,
208,3,6:16:58,**P*,TU,good,,
208,3,6:21:19,**P*,L,good,,
208,3,6:29:24,**P*,E,good,,
208,3,6:34:34,**P*,L,good,,
208,3,6:40:30,**P*,TU,good,,
208,3,7:02:36,**P*,L,good,,
208,3,7:11:57,**P*,TU,good,,
208,3,7:20:00,**P*,L,good,,
208,3,7:33:38,**P*,E,good,,
208,3,7:45:24,**P*,L,good,,
208,3,8:03:17,**P*,E,good,,
208,3,8:14:28,**P*,L,good,,
208,3,8:21:20,**P*,E,mediocre,,
208,3,8:23:06,**P*,L,mediocre,,
208,3,8:29:11,**P*,E,good,,
208,3,9:03:16,**P*,L,good,,
208,3,9:12:57,**P*,E,good,,
208,3,10:30:05,**P*,L,good,,
208,3,11:06:32,**P*,TU,good,,
208,3,11:13:27,**P*,L,good,,
208,3,11:18:56,**P*,E,good,,
208,3,11:28:04,**P*,L,good,,
208,3,11:40:16,**P*,E,mediocre,,
208,3,11:42:33,**P*,L,mediocre,,
208,3,11:44:24,**P*,E,good,,
208,3,12:42:00,**P*,L,good,,
208,3,2:13:48,*B**,BC,mediocre,old?,
208,3,4:52:53,*B**,BCO,mediocre,good,
208,3,4:57:17,*B**,BC,good,mediocre,
208,3,2:29:50,*G*P,BC,good,old?,
208,3,1:10:57,*GGY,E,mediocre,,
208,3,1:13:35,*GGY,L,mediocre,,
208,3,1:53:16,*GGY,E,good,,
208,3,3:07:36,*GGY,L,good,,
208,3,3:18:09,*GGY,E,good,,
208,3,3:23:56,*GGY,L,good,,
208,3,3:30:44,*GGY,E,good,,
208,3,3:39:04,*GGY,L,good,,
208,3,4:26:14,*GGY,E,good,,
208,3,4:43:41,*GGY,FB,good,mediocre,
208,3,4:43:41,*GGY,L,good,,
208,3,4:48:50,*GGY,FB,good,mediocre,
208,3,4:49:21,*GGY,E,mediocre,,
208,3,4:49:36,*GGY,L,mediocre,,
208,3,4:49:38,*GGY,E,mediocre,,
208,3,4:49:56,*GGY,L,mediocre,,
208,3,4:49:58,*GGY,E,mediocre,,
208,3,4:50:00,*GGY,L,mediocre,,
208,3,4:50:04,*GGY,E,mediocre,,
208,3,4:50:19,*GGY,L,mediocre,,
208,3,4:50:20,*GGY,E,mediocre,,
208,3,4:51:35,*GGY,L,mediocre,,
208,3,4:51:37,*GGY,E,mediocre,,
208,3,4:52:06,*GGY,L,mediocre,,
208,3,4:52:12,*GGY,E,mediocre,,
