Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
6,5,0:15:09,****,E,mediocre,,First entry for mediocre
6,5,0:17:23,****,L,mediocre,,
6,5,0:17:32,****,E,mediocre,,
6,5,0:17:35,****,L,mediocre,,
6,5,0:17:41,****,E,mediocre,,
6,5,0:19:37,****,L,mediocre,,
6,5,0:44:19,****,E,good,,
6,5,0:45:54,****,L,good,,
6,5,0:51:42,****,E,good,,
6,5,0:51:45,****,L,good,,
6,5,0:59:53,****,E,mediocre,,
6,5,1:02:44,****,L,mediocre,,
6,5,1:17:55,****,E,mediocre,,
6,5,1:21:53,****,L,mediocre,,
6,5,1:38:31,****,E,good,,
6,5,1:58:07,****,L,good,,
6,5,1:59:14,****,E,good,,
6,5,2:00:42,****,L,good,,
6,5,2:05:23,****,TA,good,old?,carries in PPWO
6,5,2:06:30,****,L,good,,
6,5,2:09:41,****,TA,good,old?,carries in OO**2 (midget)
6,5,2:11:30,****,L,good,,
6,5,2:15:02,****,TA,good,old?,
6,5,2:16:40,****,L,good,,
6,5,2:19:53,****,TA,good,old?,
6,5,2:25:06,****,L,good,,
6,5,2:25:06,****,TA,good,old?,"carries in *gOl, but does not herself enter the nest"
6,5,2:30:26,****,TA,good,old?,
6,5,2:33:57,****,L,good,,
6,5,2:36:23,****,TA,good,old?,carries in WB**1 the tiny
6,5,2:38:06,****,L,good,,
6,5,2:40:31,****,TB,good,old?,
6,5,2:42:01,****,L,good,,
6,5,2:43:44,****,TA,good,old?,carries in BW**
6,5,2:44:44,****,L,good,,
6,5,2:47:01,****,TB,good,old?,
6,5,2:48:10,****,L,good,,
6,5,2:50:34,****,TA,good,old?,carries in full-size WB**2
6,5,2:51:37,****,L,good,,
6,5,2:53:47,****,TB,good,old?,
6,5,2:54:44,****,L,good,,
6,5,2:56:45,****,TB,good,old?,
6,5,2:57:39,****,L,good,,
6,5,2:59:31,****,TB,good,old?,
6,5,3:01:09,****,L,good,,
6,5,3:04:04,****,TB,good,old?,confirmed
6,5,3:05:06,****,L,good,,fixed name
6,5,3:08:21,****,TA,good,old?,"confirmed, carries in *Pyl"
6,5,3:09:39,****,L,good,,
6,5,3:11:49,****,TB,good,old?,
6,5,3:12:35,****,L,good,,
6,5,3:31:01,****,E,good,,
6,5,3:49:27,****,L,good,,
6,5,4:11:08,****,E,good,,
6,5,4:36:14,****,L,good,,
6,5,4:39:49,****,TU,good,,
6,5,4:42:01,****,L,good,,
6,5,5:24:14,****,TA,good,old?,carries in W*YOW
6,5,5:27:19,****,L,good,,
6,5,0:46:36,**WW,E,mediocre,,
6,5,0:51:11,**WW,L,mediocre,,
6,5,1:48:13,**WW,E,good,,
6,5,2:06:10,**WW,L,good,,
6,5,2:10:48,**WW,E,good,,
6,5,2:13:07,**WW,L,good,,
6,5,2:28:36,**WW,E,good,,
6,5,2:32:21,**WW,L,good,,
6,5,2:37:32,**WW,TA,good,old?,carries in W*W*
6,5,2:40:51,**WW,L,good,,
6,5,2:51:58,**WW,TB,good,old?,
6,5,2:56:05,**WW,L,good,,
6,5,3:00:00,**WW,TB,good,old?,confirmed
6,5,3:04:55,**WW,L,good,,fixed
6,5,3:10:38,**WW,TB,good,old?,confirmed
6,5,3:12:04,**WW,L,good,,
6,5,3:16:24,**WW,TB,good,old?,
6,5,3:19:29,**WW,L,good,,
6,5,3:35:58,**WW,E,good,,
6,5,3:15:20,**YG,BC,good,old?,carried in by PGGY
6,5,0:53:58,**YY,E,mediocre,,
6,5,0:56:06,**YY,L,mediocre,,
6,5,1:40:12,*G**,E,mediocre,,
6,5,1:42:02,*G**,L,mediocre,,
6,5,1:56:06,*G**,E,mediocre,,
