Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
6,2,0:31:05,****,E,mediocre,,
6,2,0:34:44,****,L,mediocre,,
6,2,0:40:07,****,E,mediocre,,
6,2,0:40:10,****,L,mediocre,,
6,2,1:12:56,****,FB,old,good,the pair enters the good nest at 1:13:21
6,2,1:13:22,****,E,good,,
6,2,1:43:06,****,L,good,,
6,2,2:03:15,****,E,good,,
6,2,2:12:51,****,L,good,,
6,2,2:22:28,****,E,good,,
6,2,2:28:44,****,L,good,,
6,2,2:33:45,****,E,good,,
6,2,2:36:26,****,L,good,,
6,2,2:44:19,****,TA,good,old?,
6,2,2:46:30,****,L,good,,
6,2,2:46:42,****,LB,good,old,occurs outside nest. GO** follows. exit stage right
6,2,2:52:12,****,TA,good,old?,"confirmed, transports Ly**"
6,2,2:54:59,****,LB,good,old,"Tandem run begins within nest. *W**1 follows at 02:54:28, breaks off at 2:54:31. WO**0 follows at 2:54:31, breaks off at 2:54:57. BWYL begins following at 2:54:57 and follows **** out of the nest."
6,2,2:55:53,****,L,good,,"confirmed, leads BWYL out"
6,2,3:02:05,****,TA,good,old?,
6,2,3:05:23,****,L,good,,
6,2,3:08:25,****,TB,good,old?,confirmed
6,2,3:11:24,****,L,good,,added
6,2,3:13:50,****,TA,good,old?,confirmed
6,2,3:15:24,****,L,good,,
6,2,3:20:53,****,TB,good,old?,
6,2,3:24:31,****,L,good,,
6,2,3:24:37,****,LB,good,old,
6,2,3:29:35,****,TB,good,old?,
6,2,3:31:54,****,L,good,,
6,2,3:34:33,****,TA,good,old?,
6,2,3:35:38,****,L,good,,
6,2,3:38:50,****,TB,good,old?,
6,2,3:42:02,****,L,good,,
6,2,3:47:44,****,TB,good,old?,
6,2,3:49:44,****,L,good,,
6,2,3:51:57,****,TB,good,old?,
6,2,3:53:53,****,L,good,,
6,2,3:56:37,****,TB,good,old?,
6,2,3:58:52,****,L,good,,
6,2,4:01:10,****,TB,good,old?,
6,2,4:04:26,****,L,good,,
