Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
6,3,00:00:00,OldUncoded,Open,old,,Good camera started at same time as mediocre camera
6,3,00:35:45,*W**1,E,mediocre,,check with other *W**
6,3,00:36:47,WGOW,E,good,,
6,3,00:37:09,****,E,mediocre,,
6,3,00:37:36,*W**1,L,mediocre,,
6,3,00:38:13,OO**1,E,mediocre,,
6,3,00:38:25,****,L,mediocre,,
6,3,00:40:56,OO**1,L,mediocre,,
6,3,01:09:31,WGG*,E,mediocre,,
6,3,01:10:15,WGG*,L,mediocre,,
6,3,01:10:29,PYO*,E,mediocre,,
6,3,01:12:07,PYO*,L,mediocre,,
6,3,01:31:37,PB**,E,mediocre,,
6,3,01:34:15,WGOW,L,good,,
6,3,01:43:12,PB**,L,mediocre,,
6,3,01:46:00,WGOW,E,good,,
6,3,01:48:55,WGOW,L,good,,
6,3,01:57:39,PYGL,E,mediocre,,
6,3,01:58:03,PYGL,L,mediocre,,
6,3,01:58:35,WGOW,E,mediocre,,
6,3,01:58:59,**WW,E,mediocre,,
6,3,02:00:27,WGOW,L,mediocre,,
6,3,02:01:00,**WW,L,mediocre,,
6,3,02:01:44,**WW,E,mediocre,,
6,3,02:04:21,P*Y*,BC,good,old?,
6,3,02:04:21,WOo*1,TA,good,old?,No exact entrance time. Tries to shove P*Y* inside in the worst way possible and they both get wedged in the entrance. For entire seconds.
6,3,02:04:30,**WW,L,mediocre,,
6,3,02:09:36,WOo*1,L,good,,PS glob head
6,3,02:11:24,P*Y*,L,good,,
6,3,02:14:54,WGOW,E,good,,
6,3,02:16:12,LO*Y,E,mediocre,,
6,3,02:16:21,WGOW,L,good,,
6,3,02:18:04,LO*Y,L,mediocre,,
6,3,02:18:09,Y*yG,E,mediocre,,
6,3,02:21:14,WGOW,E,good,,
6,3,02:22:46,BPpY,E,mediocre,,
6,3,02:23:29,WGOW,L,good,,
6,3,02:25:38,Yo*O,E,mediocre,,
6,3,02:25:41,Yo*O,L,mediocre,,
6,3,02:26:00,Y*yG,L,mediocre,,
6,3,02:28:02,BPpY,L,mediocre,,
6,3,02:30:40,WO**1,E,mediocre,,round head
6,3,02:32:11,WO**1,L,mediocre,,round head
6,3,02:32:24,WO**1,E,mediocre,,round head
6,3,02:33:14,PG**,E,mediocre,,
6,3,02:34:15,WO**1,L,mediocre,,round head
6,3,02:35:37,WGOW,E,good,,
6,3,02:36:36,PG**,L,mediocre,,
