Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
208,4,0:00:00,OldUncoded,Open,old,,Good and mediocre cameras started simultaneously
208,4,0:07:25,OPP*,E,mediocre,,
208,4,0:07:51,OPP*,L,mediocre,,
208,4,0:15:46,GWG*,E,mediocre,,
208,4,0:16:48,GWP*,E,good,,
208,4,0:17:03,GWG*,L,mediocre,,
208,4,0:17:19,GBO*,E,good,,"Carrying GB**, but apparently not really interested in staying here; leaves without ever putting GB** down."
208,4,0:17:33,GBO*,L,good,,
208,4,0:19:37,GWP*,L,good,,
208,4,0:20:17,GGPY,E,mediocre,,
208,4,0:20:34,GB*Y,E,mediocre,,
208,4,0:22:59,GGPY,L,mediocre,,
208,4,0:23:24,GYO*,E,mediocre,,
208,4,0:24:00,GB**,E,good,,
208,4,0:24:50,GWG*,E,good,,
208,4,0:25:36,GYO*,L,mediocre,,
208,4,0:26:23,GGPY,E,good,,
208,4,0:26:23,GOYL,E,good,,
208,4,0:26:30,GOYL,L,good,,
208,4,0:26:37,GB*Y,L,mediocre,,
208,4,0:26:40,GWG*,L,good,,
208,4,0:28:06,**P*,E,mediocre,,
208,4,0:28:24,**P*,L,mediocre,,
208,4,0:28:38,GBLO,E,good,,
208,4,0:32:37,Y*YG,E,mediocre,,
208,4,0:34:09,GBO*,E,good,,
208,4,0:35:28,YYOW,E,mediocre,,
208,4,0:36:58,GB*Y,E,good,,
208,4,0:37:32,YYOW,L,mediocre,,
208,4,0:39:36,GB*Y,L,good,,
208,4,0:40:12,OPP*,E,good,,
208,4,0:40:22,Y*YG,L,mediocre,,
208,4,0:40:32,OPP*,L,good,,
208,4,0:41:42,OBG*,E,mediocre,,
208,4,0:42:33,GOW*,E,mediocre,,
208,4,0:43:00,**P*,E,good,,
208,4,0:43:07,GOYL,E,mediocre,,
208,4,0:43:14,GOYL,L,mediocre,,
208,4,0:43:19,WPWG,E,mediocre,,
208,4,0:45:36,GGPY,L,good,,
208,4,0:46:45,GOYL,E,good,,
208,4,0:47:10,GGYO,FB,old,mediocre,#1
208,4,0:47:10,GYO*,LB,old,mediocre,
208,4,0:47:33,GYO*,E,mediocre,,
208,4,0:47:37,GGYO,E,mediocre,,#1
208,4,0:48:30,GGPY,E,good,,
208,4,0:50:00,GBLO,L,good,,
208,4,0:50:12,YYG*,E,mediocre,,
208,4,0:50:54,YYG*,L,mediocre,,
208,4,0:52:12,GWG*,E,mediocre,,
208,4,0:52:51,GO*G,E,good,,
208,4,0:53:32,GWG*,TAO,mediocre,good,
208,4,0:53:32,GYO*,BCO,mediocre,good,
208,4,0:53:49,GOW*,L,mediocre,,
208,4,0:53:54,G*GY,E,good,,
208,4,0:54:17,WGBG,E,mediocre,,#2
208,4,0:55:08,GWG*,TA,good,mediocre,
208,4,0:55:08,GYO*,BC,good,mediocre,
208,4,0:56:26,GWG*,L,good,,
208,4,0:58:25,WGBG,L,mediocre,,#2
208,4,0:59:51,GOW*,BC,good,old?,
208,4,0:59:51,GWG*,TA,good,old?,
208,4,1:00:23,GB**,L,good,,Ants found small exit through lower left side of nest
208,4,1:00:52,GWG*,L,good,,
208,4,1:01:27,WPWG,L,mediocre,,
208,4,1:01:43,WPWG,E,mediocre,,
208,4,1:02:24,GB**,E,good,,Ants found small exit through lower left side of nest
208,4,1:03:12,BG**,E,good,,
208,4,1:03:59,**P*,L,good,,
208,4,1:04:11,GGYO,L,mediocre,,#1
208,4,1:05:14,OBG*,L,mediocre,,
208,4,1:05:29,GWG*,TA,good,old?,
208,4,1:05:29,YBYY,BC,good,old?,
208,4,1:06:11,GWG*,L,good,,
208,4,1:06:16,GGPY,L,good,,
208,4,1:06:18,GGPY,FB,good,old,
208,4,1:06:18,GWG*,LB,good,old,
208,4,1:08:05,GYO*,L,good,,
208,4,1:08:38,GOW*,L,good,,
208,4,1:09:13,WPWG,L,mediocre,,
208,4,1:09:18,**P*,E,good,,
208,4,1:09:21,GGYO,E,good,,#1
208,4,1:09:43,WPWG,E,mediocre,,
208,4,1:11:21,Y*YG,E,good,,
208,4,1:11:33,GWG*,TA,good,old?,
208,4,1:11:33,LGGL,BC,good,old?,
208,4,1:12:27,GYO*,TB,good,old?,
208,4,1:12:40,GWG*,L,good,,
208,4,1:12:48,GO*G,L,good,,
208,4,1:13:10,WPWG,L,mediocre,,
208,4,1:14:03,GYO*,L,good,,
208,4,1:14:12,WPWG,E,mediocre,,
208,4,1:14:18,WPWG,L,mediocre,,
208,4,1:15:30,GB**,L,good,,
208,4,1:16:04,GWG*,TA,good,old?,
208,4,1:16:04,YYOW,BC,good,old?,
208,4,1:16:44,GWG*,L,good,,
208,4,1:16:51,WPWG,E,mediocre,,
208,4,1:17:40,GYO*,TA,good,old?,
208,4,1:17:40,OYWB,BC,good,old?,
208,4,1:17:52,GGPY,E,good,,
208,4,1:17:56,GO*G,TA,good,old?,
208,4,1:17:56,WLLO,BC,good,old?,
208,4,1:18:08,GYO*,L,good,,
208,4,1:18:34,GB**,E,good,,
208,4,1:18:50,GO*G,L,good,,
208,4,1:19:14,GWG*,TA,good,old?,
208,4,1:19:14,PB**,BC,good,old?,#1 Large pink
208,4,1:19:56,GWG*,L,good,,
208,4,1:20:03,Y*YG,L,good,,
208,4,1:20:25,Y*LY,E,mediocre,,
208,4,1:20:47,*WYW,BC,good,old?,
208,4,1:20:47,GOW*,TA,good,old?,
208,4,1:20:52,GYO*,TA,good,old?,
208,4,1:20:52,P*Y*,BC,good,old?,#2 Small pink
208,4,1:20:57,Y*LY,L,mediocre,,
208,4,1:21:00,YYG*,E,mediocre,,
208,4,1:21:19,GB*Y,TA,good,old?,
208,4,1:21:19,OPP*,BC,good,old?,
208,4,1:21:21,YYG*,L,mediocre,,
208,4,1:22:10,GYO*,L,good,,
208,4,1:22:14,YYG*,E,mediocre,,
208,4,1:22:19,GB*Y,L,good,,Resumed recording Entries/Departures
208,4,1:22:19,Y*LY,E,mediocre,,
208,4,1:22:37,GOW*,L,good,,
208,4,1:22:39,Y*LY,L,mediocre,,
208,4,1:23:00,BG**,L,good,,
208,4,1:23:34,*GGY,BC,good,old?,
208,4,1:23:34,GO*G,TA,good,old?,
208,4,1:23:41,GYO*,E,mediocre,,
208,4,1:23:59,GYO*,L,mediocre,,
208,4,1:24:10,WPWG,L,mediocre,,
208,4,1:24:12,GWG*,TA,good,old?,
208,4,1:24:12,YPYWB,BC,good,old?,3 colors on gaster
208,4,1:24:21,PP*Y,BC,good,old?,
208,4,1:24:21,Y*YG,TA,good,old?,
208,4,1:24:24,GO*G,L,good,,
208,4,1:25:03,G*GY,L,good,,
208,4,1:25:09,GWG*,L,good,,
208,4,1:25:12,G*GY,FB,good,old,
208,4,1:25:12,GWG*,LB,good,old,
208,4,1:25:22,Y*YG,L,good,,
208,4,1:25:36,YBYY,L,good,,side
208,4,1:26:48,WPWG,E,mediocre,,
208,4,1:26:56,GYO*,TA,good,old?,
208,4,1:26:56,OBG*,BC,good,old?,
208,4,1:28:04,OPGW,BC,good,old?,
208,4,1:28:04,Y*YG,TA,good,old?,
208,4,1:28:09,GO*G,TA,good,old?,
208,4,1:28:09,O*GWO,BC,good,old?,3 colors on gaster
208,4,1:28:17,BG**,TA,good,old?,
208,4,1:28:17,YGGW,BC,good,old?,
208,4,1:28:28,GYO*,L,good,,
