Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
208,2,1:37:55,****,BC,mediocre,old?,
208,2,3:43:32,****,BCO,mediocre,good,
208,2,3:45:15,****,BC,good,mediocre,
208,2,8:24:59,****,L,good,,ms
208,2,8:57:39,****,BC,good,old?,
208,2,0:15:09,**P*,E,mediocre,,
208,2,0:16:04,**P*,L,mediocre,,
208,2,0:19:24,**P*,E,mediocre,,ms
208,2,0:21:20,**P*,L,mediocre,,ms
208,2,0:37:47,**P*,E,good,,
208,2,0:40:42,**P*,L,good,,
208,2,0:49:05,**P*,E,good,,ms
208,2,0:50:42,**P*,L,good,,ms
208,2,0:50:51,**P*,E,good,,ms
208,2,1:02:17,**P*,L,good,,ms
208,2,1:02:44,**P*,E,good,,ms
208,2,1:03:33,**P*,L,good,,ms
208,2,1:08:39,**P*,E,good,,ms
208,2,1:26:04,**P*,L,good,,ms
208,2,1:28:18,**P*,E,good,,ms
208,2,1:40:20,**P*,L,good,,ms
208,2,1:43:03,**P*,TA,good,old?,
208,2,1:47:07,**P*,L,good,,ms
208,2,1:51:41,**P*,E,mediocre,,ms
208,2,1:54:09,**P*,TAO,mediocre,good,
208,2,1:56:55,**P*,TA,good,mediocre,
208,2,2:02:25,**P*,L,good,,ms
208,2,2:02:50,**P*,E,good,,ms
208,2,2:04:41,**P*,FB,good,old,
208,2,2:05:08,**P*,L,good,,ms
208,2,2:15:17,**P*,TB,good,old?,
208,2,2:18:48,**P*,L,good,,ms
208,2,2:23:50,**P*,TB,good,old?,
208,2,2:26:03,**P*,L,good,,ms
208,2,2:30:11,**P*,TB,good,old?,
208,2,2:32:07,**P*,L,good,,ms
208,2,2:36:06,**P*,TA,good,old?,
208,2,2:37:46,**P*,L,good,,ms
208,2,2:50:05,**P*,E,mediocre,,ms
208,2,2:52:41,**P*,TAO,mediocre,mediocre,
208,2,2:57:56,**P*,TA,mediocre,mediocre,
208,2,3:03:29,**P*,L,mediocre,,ms
208,2,3:06:37,**P*,E,mediocre,,ms
208,2,3:23:07,**P*,L,mediocre,,ms
208,2,3:27:45,**P*,E,mediocre,,ms
208,2,3:29:45,**P*,L,mediocre,,ms
208,2,3:29:56,**P*,E,mediocre,,ms
208,2,3:33:27,**P*,BCO,mediocre,good,
208,2,3:36:07,**P*,BC,good,mediocre,
208,2,3:45:11,**P*,L,good,,ms
208,2,3:46:31,**P*,FB,good,mediocre,
208,2,3:48:14,**P*,E,mediocre,,ms
208,2,3:54:33,**P*,TBO,mediocre,good,
208,2,3:59:15,**P*,TB,good,mediocre,
208,2,4:03:43,**P*,L,good,,ms
208,2,4:15:07,**P*,E,mediocre,,ms
208,2,4:19:49,**P*,L,mediocre,,ms
208,2,4:23:28,**P*,E,good,,ms
208,2,4:40:41,**P*,L,good,,ms
208,2,4:47:52,**P*,E,good,,ms
208,2,5:00:38,**P*,L,good,,ms
208,2,5:05:36,**P*,E,good,,ms
208,2,5:19:21,**P*,L,good,,ms
208,2,5:20:55,**P*,E,good,,ms
208,2,5:40:04,**P*,L,good,,ms
208,2,5:47:21,**P*,TU,good,,ms
208,2,5:51:50,**P*,L,good,,ms
208,2,5:53:18,**P*,E,mediocre,,ms
208,2,5:53:20,**P*,L,mediocre,,ms
208,2,6:03:54,**P*,E,good,,ms
208,2,7:01:07,**P*,L,good,,ms
208,2,7:35:50,**P*,E,good,,ms
208,2,7:46:16,**P*,L,good,,ms
208,2,7:53:10,**P*,E,good,,ms
208,2,8:15:19,**P*,L,good,,ms
208,2,8:24:16,**P*,E,good,,ms
208,2,8:25:32,**P*,L,good,,ms
208,2,8:36:07,**P*,E,good,,ms
208,2,8:49:56,**P*,L,good,,ms
208,2,8:53:49,**P*,E,good,,ms
208,2,2:03:34,*B**,BC,good,old?,
208,2,2:36:39,*G*P,BC,good,old?,
208,2,0:40:00,*GGY,E,good,,
208,2,0:43:11,*GGY,L,good,,
208,2,0:44:58,*GGY,E,good,,ms
208,2,0:46:04,*GGY,L,good,,ms
208,2,0:46:27,*GGY,E,good,,ms
208,2,0:46:53,*GGY,L,good,,ms
208,2,0:51:55,*GGY,E,mediocre,,
208,2,0:52:53,*GGY,L,mediocre,,
208,2,1:06:17,*GGY,E,mediocre,,ms
208,2,1:10:33,*GGY,L,mediocre,,ms
208,2,1:10:35,*GGY,E,mediocre,,ms
208,2,1:25:56,*GGY,L,mediocre,,ms
208,2,1:47:35,*GGY,E,mediocre,,ms
208,2,1:54:50,*GGY,L,mediocre,,ms
208,2,1:57:28,*GGY,E,mediocre,,ms
208,2,1:57:31,*GGY,L,mediocre,,ms
208,2,1:58:17,*GGY,E,mediocre,,ms
208,2,1:59:52,*GGY,FB,old,mediocre,
208,2,1:59:52,*GGY,L,mediocre,,ms
208,2,2:28:27,*GGY,TB,mediocre,old?,
208,2,2:30:05,*GGY,TBO,mediocre,?,Not sure where she took brood
208,2,3:14:52,*GGY,BC,good,old?,
208,2,3:31:47,*GGY,L,good,,ms
208,2,4:06:03,*GGY,E,good,,ms
208,2,4:34:21,*GGY,L,good,,ms
208,2,4:49:25,*GGY,E,mediocre,,ms
208,2,4:51:42,*GGY,L,mediocre,,ms
208,2,5:01:32,*GGY,E,good,,ms
208,2,6:46:22,*GGY,L,good,,ms
208,2,6:53:45,*GGY,E,mediocre,,ms
208,2,6:55:45,*GGY,L,mediocre,,ms
208,2,7:15:53,*GGY,E,good,,ms
208,2,1:40:26,*LYGL,BC,good,old?,
208,2,0:30:01,*PWP,E,good,,
208,2,0:31:33,*PWP,L,good,,
208,2,0:31:41,*PWP,E,good,,ms
208,2,0:40:40,*PWP,L,good,,ms
208,2,1:07:34,*PWP,E,good,,ms
208,2,1:08:04,*PWP,L,good,,ms
208,2,1:08:14,*PWP,FB,good,old,
208,2,1:09:24,*PWP,FB,old,good,
208,2,1:09:50,*PWP,E,good,,ms
208,2,1:27:25,*PWP,L,good,,ms
208,2,1:29:36,*PWP,E,good,,ms
208,2,1:29:59,*PWP,L,good,,ms
208,2,1:35:43,*PWP,E,mediocre,,
208,2,1:37:56,*PWP,L,mediocre,,
208,2,1:41:00,*PWP,E,good,,ms
208,2,1:42:11,*PWP,L,good,,ms
208,2,1:44:08,*PWP,E,good,,ms
208,2,1:46:12,*PWP,L,good,,ms
208,2,2:28:11,*PWP,E,good,,ms
208,2,2:28:25,*PWP,L,good,,ms
208,2,2:28:36,*PWP,E,good,,ms
208,2,2:28:48,*PWP,L,good,,ms
208,2,2:33:16,*PWP,E,good,,ms
208,2,2:54:31,*PWP,L,good,,ms
208,2,3:23:23,*PWP,E,good,,ms
208,2,3:31:51,*PWP,L,good,,ms
208,2,3:59:18,*PWP,E,good,,ms
208,2,4:13:43,*PWP,L,good,,ms
208,2,4:27:19,*PWP,E,mediocre,,ms
208,2,4:27:30,*PWP,L,mediocre,,ms
208,2,6:14:11,*PWP,E,mediocre,,ms
208,2,6:15:34,*PWP,L,mediocre,,ms
208,2,6:47:51,*PWP,E,good,,ms
208,2,7:25:02,*PWP,L,good,,ms
208,2,0:05:59,*WOW,E,mediocre,,
208,2,0:08:25,*WOW,L,mediocre,,
208,2,0:20:30,*WOW,E,mediocre,,ms
208,2,0:21:33,*WOW,L,mediocre,,ms
208,2,0:31:22,*WOW,E,mediocre,,ms
208,2,0:32:29,*WOW,L,mediocre,,ms
208,2,0:32:32,*WOW,E,mediocre,,ms
208,2,0:33:07,*WOW,L,mediocre,,ms
208,2,0:41:24,*WOW,E,good,,
208,2,0:44:29,*WOW,L,good,,
208,2,1:00:46,*WOW,E,good,,ms
208,2,1:02:18,*WOW,L,good,,ms
208,2,1:11:46,*WOW,E,mediocre,,ms
208,2,1:18:08,*WOW,L,mediocre,,ms
208,2,1:19:08,*WOW,FB,mediocre,old,
208,2,1:36:35,*WOW,E,good,,ms
208,2,2:09:55,*WOW,L,good,,ms
208,2,2:09:56,*WOW,FB,good,old,
208,2,2:16:19,*WOW,E,good,,ms
208,2,2:26:34,*WOW,L,good,,ms
208,2,2:26:39,*WOW,E,good,,ms
208,2,2:33:15,*WOW,L,good,,ms
208,2,2:42:38,*WOW,E,good,,ms
208,2,3:11:43,*WOW,L,good,,ms
208,2,3:18:01,*WOW,E,mediocre,,ms
208,2,3:22:11,*WOW,L,mediocre,,ms
208,2,3:26:15,*WOW,E,good,,ms
208,2,3:53:28,*WOW,L,good,,ms
208,2,4:48:42,*WOW,E,mediocre,,ms
208,2,4:50:29,*WOW,L,mediocre,,ms
208,2,5:18:20,*WOW,E,good,,ms
208,2,5:45:07,*WOW,L,good,,ms
208,2,7:12:26,*WOW,E,good,,ms
