Colony,Treatment,Time,Ant,Behavior,Location/Origin,Source/Destination,Notes
3004,4,00:00:00,OldUncoded,Open,old,,Good camera started 3 seconds after mediocre camera
3004,4,00:28:52,****,TB,mediocre,old?,
3004,4,00:28:57,****,TBO,mediocre,?,Not sure where she took brood
3004,4,00:30:35,GP**,E,mediocre,,
3004,4,00:31:25,GP**,L,mediocre,,
3004,4,01:11:32,PG*G,E,mediocre,,
3004,4,01:13:27,PG*G,L,mediocre,,
3004,4,01:28:31,PG*G,E,mediocre,,
3004,4,01:29:20,PG*G,L,mediocre,,
3004,4,01:48:25,PG*G,E,mediocre,,
3004,4,01:50:21,PG*G,L,mediocre,,
3004,4,01:54:25,POOB,E,mediocre,,
3004,4,01:58:15,POOB,L,mediocre,,
3004,4,02:04:45,****,E,mediocre,,
3004,4,02:04:45,GP**,E,mediocre,,
3004,4,02:06:12,GP**,L,mediocre,,
3004,4,02:06:44,****,L,mediocre,,
3004,4,02:13:59,GY**(1),E,mediocre,,
3004,4,02:15:25,GY**(1),L,mediocre,,
3004,4,02:17:41,GY**(1),E,mediocre,,
3004,4,02:20:37,GY**(1),L,mediocre,,
3004,4,02:33:44,POOB,E,mediocre,,
3004,4,02:34:07,POOB,L,mediocre,,
3004,4,02:36:18,GP**,E,mediocre,,
3004,4,02:36:49,GP**,L,mediocre,,
3004,4,02:51:18,*OPB,E,mediocre,,
3004,4,02:54:59,*OPB,L,mediocre,,
3004,4,02:55:06,*OPB,E,mediocre,,
3004,4,02:55:36,P*B*,E,mediocre,,
3004,4,02:57:15,*OPB,L,mediocre,,
3004,4,03:00:28,OBBP,E,mediocre,,
3004,4,03:00:30,GY**(2),E,mediocre,,
3004,4,03:00:44,GOBW,E,mediocre,,
3004,4,03:01:05,GP**,E,mediocre,,
3004,4,03:01:43,GP**,L,mediocre,,
3004,4,03:01:50,GP**,E,mediocre,,
3004,4,03:01:58,*OPB,E,mediocre,,
3004,4,03:04:15,*OPB,BCO,mediocre,?,Carried back to old nest?
3004,4,03:04:15,GP**,TAO,mediocre,?,
