id colorId role
1 GGPY active
2 GBO* active
4 **P* active
5 OPP* active
6 YYOW active
7 GYO* active
8 GBLO active
9 GWG* active
10 WGBG active
11 GB*Y active
12 GOYL active
13 GWP* active
15 GO*G active
17 WY** active
18 Y*YG active
19 WLLO active
20 *GGY active
21 BG** active
22 YGGW active
23 Y*LY active
25 YYG* passive
26 G*GY active
27 GB** active
28 GGYO active
29 GYW* passive
30 WPWG active
31 YY*Y passive
32 P*Y* passive
33 GGY* active
34 GOW* active
35 OBG* active
37 OG** passive
38 PB** passive
39 **** passive
40 POYO passive
41 OYGP passive
42 *LYGL passive
43 YLLO passive
44 GGGG passive
45 YOBY passive
46 YOYO passive
47 L*LW passive
49 WWGY passive
50 *B** passive
51 BWBY passive
52 YGLG passive
54 O*GWO passive
55 LGGL active
56 YBYY passive
57 PG** passive
58 GPGW passive
59 WPYB passive
60 OPGW passive
61 BWWY passive
62 PP*Y passive
63 B*WY passive
65 YOO* passive
66 GWWP passive
67 Q passive
68 OYWB passive
69 PPLY passive
70 GGO* passive
71 BLY* passive
72 PWWPY passive
73 YPYWB passive
74 YOGY passive
75 *G*P active
76 WG** passive
77 *WYW passive
78 OPOB passive
