id colorId roleLL
1 GGPY highActive
2 GBO* highActive
4 **P* highActive
5 OPP* highActive
6 YYOW lowActive
7 GYO* lowActive
9 GWG* highActive
10 WGBG lowActive
11 GB*Y highActive
12 GOYL highActive
15 GO*G highActive
17 WY** lowActive
18 Y*YG highActive
19 WLLO lowActive
20 *GGY highActive
21 BG** lowActive
22 YGGW lowActive
23 Y*LY lowActive
25 YYG* truePassive
26 G*GY highActive
27 GB** lowActive
28 GGYO highActive
29 GYW* truePassive
30 WPWG lowActive
31 YY*Y truePassive
32 P*Y* truePassive
33 GGY* lowActive
34 GOW* highActive
35 OBG* lowActive
37 OG** truePassive
38 PB** truePassive
39 **** truePassive
40 POYO truePassive
41 OYGP truePassive
42 *LYGL truePassive
43 YLLO truePassive
44 GGGG truePassive
45 YOBY truePassive
46 YOYO truePassive
47 L*LW truePassive
49 WWGY truePassive
50 *B** truePassive
51 BWBY truePassive
52 YGLG truePassive
53 Y*YP truePassive
54 O*GWO truePassive
55 LGGL lowActive
56 YBYY truePassive
57 PG** truePassive
58 GPGW truePassive
59 WPYB truePassive
60 OPGW truePassive
61 BWWY truePassive
62 PP*Y truePassive
63 B*WY truePassive
65 YOO* truePassive
66 GWWP truePassive
67 Q truePassive
68 OYWB truePassive
69 PPLY truePassive
70 GGO* truePassive
71 BLY* truePassive
72 PWWPY truePassive
73 YPYWB truePassive
74 YOGY truePassive
75 *G*P lowActive
76 WG** truePassive
77 *WYW truePassive
78 OPOB truePassive
