id colorId roleLL
1 POOB highActive
2 GOBW highActive
3 **** highActive
4 GP** highActive
5 WWGY highActive
6 GW** highActive
8 GY**(2) highActive
9 P*B* highActive
10 GY**(1) highActive
11 WB**1 truePassive
12 WBOG lowActive
13 YPP* truePassive
14 *OPY lowActive
15 *OPB highActive
16 GPPO lowActive
17 WW** truePassive
18 OY** truePassive
19 P*PY truePassive
20 PYYP truePassive
21 PGGP lowActive
22 QUEEN truePassive
23 PG*G lowActive
24 WPWP truePassive
25 O*** truePassive
26 OBGB truePassive
27 YBGO truePassive
28 BBWB truePassive
29 OGPG truePassive
30 OBBP lowActive
31 WOYB truePassive
32 WB**2 truePassive
33 B*YB highActive
